id,x,y,邏輯樹,AbrahamsonEtAl2014,BooreAtkinson2008,CampbellBozorgnia2008,ChiouYoungs2008,LinLee2008SInter
1911,120.47595,23.08107,0.135017568,0.144646311,0.107298939,0.114713689,0.128127085,0.126169119
1912,120.47605,23.09006,0.162250985,0.14036295,0.142446001,0.129025886,0.089458486,0.103068845
1913,120.47615,23.09906,0.159203308,0.16531944,0.13465345,0.106933851,0.126941277,0.145366952
1914,120.47625,23.10805,0.14471305,0.102459478,0.147352107,0.076915803,0.11367506,0.129435171
1915,120.47634,23.11704,0.118593158,0.095662952,0.116317064,0.079972358,0.11235658,0.102826555
1916,120.47644,23.12604,0.127276968,0.112479589,0.127159646,0.110431851,0.105777632,0.107563587
1917,120.47654,23.13503,0.134670477,0.115336215,0.133793154,0.123961536,0.081166559,0.130438707
1918,120.47664,23.14402,0.156448265,0.156252424,0.141872519,0.083413525,0.096909338,0.09929978
1919,120.47674,23.15302,0.11710097,0.109190434,0.11114398,0.119686215,0.086556475,0.10196503
1920,120.47684,23.16201,0.130316957,0.115604918,0.126190818,0.082265004,0.064596731,0.099525398
1921,120.47694,23.171,0.116637234,0.073263576,0.149261752,0.114922819,0.08065145,0.075478443
1922,120.47704,23.18,0.146504648,0.111468417,0.186290611,0.099488448,0.077754694,0.116200062
1923,120.47714,23.18899,0.102424866,0.088810651,0.11406563,0.089260734,0.096333343,0.100581
1924,120.47724,23.19798,0.09284022,0.080359857,0.104789499,0.118600056,0.082439285,0.090311605
1925,120.47734,23.20698,0.129991334,0.1347001,0.134381851,0.092129319,0.082010874,0.079708999
1926,120.47744,23.21597,0.118481887,0.097088114,0.149944678,0.075969303,0.093562295,0.087048665
1927,120.47754,23.22496,0.115901086,0.113107573,0.121158856,0.09477851,0.082829318,0.09423137
1928,120.47764,23.23396,0.089320984,0.078934438,0.109493455,0.095766028,0.080250412,0.082190124
1929,120.47774,23.24295,0.102204351,0.083685039,0.116187324,0.076690074,0.071435729,0.082149988
1930,120.47784,23.25194,0.089226701,0.083626019,0.096439957,0.086463427,0.072892052,0.078650013
1931,120.47794,23.26093,0.093270341,0.083590524,0.108800372,0.075420929,0.078051173,0.096447039
1932,120.47805,23.26993,0.072373765,0.05285968,0.09487303,0.057507307,0.079405683,0.053075197
1933,120.47815,23.27892,0.091635818,0.069215529,0.104246911,0.073429093,0.06371969,0.053783399
1934,120.47825,23.28791,0.09007984,0.08472377,0.092893462,0.069890023,0.077108086,0.095307792
1935,120.47835,23.29691,0.102062501,0.073453736,0.127534145,0.060943933,0.068693417,0.072216457
1936,120.47845,23.3059,0.087465502,0.050550191,0.119889934,0.068144462,0.047243825,0.063867146
1937,120.47855,23.31489,0.067550203,0.052868542,0.076947631,0.068386548,0.082780057,0.065230654
1938,120.47865,23.32389,0.0744972,0.070183734,0.081371251,0.056754121,0.051187672,0.072653501
1939,120.47875,23.33288,0.082255355,0.057515961,0.116498562,0.052534171,0.057378198,0.065625659
1940,120.47885,23.34187,0.087558659,0.083306301,0.095466083,0.074880134,0.07664834,0.06100629
1941,120.47895,23.35087,0.083603061,0.058691945,0.110350881,0.076653881,0.063909072,0.046976461
